PC2_Tab_0
0x00000000, 0x00000010, 0x20000000, 0x20000010, 0x00000100, 0x00000110, 0x20000100, 0x20000110,
0x00080000, 0x00080010, 0x20080000, 0x20080010, 0x00080100, 0x00080110, 0x20080100, 0x20080110,
0x00000020, 0x00000030, 0x20000020, 0x20000030, 0x00000120, 0x00000130, 0x20000120, 0x20000130,
0x00080020, 0x00080030, 0x20080020, 0x20080030, 0x00080120, 0x00080130, 0x20080120, 0x20080130,
0x00000800, 0x00000810, 0x20000800, 0x20000810, 0x00000900, 0x00000910, 0x20000900, 0x20000910,
0x00080800, 0x00080810, 0x20080800, 0x20080810, 0x00080900, 0x00080910, 0x20080900, 0x20080910,
0x00000820, 0x00000830, 0x20000820, 0x20000830, 0x00000920, 0x00000930, 0x20000920, 0x20000930,
0x00080820, 0x00080830, 0x20080820, 0x20080830, 0x00080920, 0x00080930, 0x20080920, 0x20080930,
0x02000000, 0x02000010, 0x22000000, 0x22000010, 0x02000100, 0x02000110, 0x22000100, 0x22000110,
0x02080000, 0x02080010, 0x22080000, 0x22080010, 0x02080100, 0x02080110, 0x22080100, 0x22080110,
0x02000020, 0x02000030, 0x22000020, 0x22000030, 0x02000120, 0x02000130, 0x22000120, 0x22000130,
0x02080020, 0x02080030, 0x22080020, 0x22080030, 0x02080120, 0x02080130, 0x22080120, 0x22080130,
0x02000800, 0x02000810, 0x22000800, 0x22000810, 0x02000900, 0x02000910, 0x22000900, 0x22000910,
0x02080800, 0x02080810, 0x22080800, 0x22080810, 0x02080900, 0x02080910, 0x22080900, 0x22080910,
0x02000820, 0x02000830, 0x22000820, 0x22000830, 0x02000920, 0x02000930, 0x22000920, 0x22000930,
0x02080820, 0x02080830, 0x22080820, 0x22080830, 0x02080920, 0x02080930, 0x22080920, 0x22080930,
0x00200000, 0x00200010, 0x20200000, 0x20200010, 0x00200100, 0x00200110, 0x20200100, 0x20200110,
0x00280000, 0x00280010, 0x20280000, 0x20280010, 0x00280100, 0x00280110, 0x20280100, 0x20280110,
0x00200020, 0x00200030, 0x20200020, 0x20200030, 0x00200120, 0x00200130, 0x20200120, 0x20200130,
0x00280020, 0x00280030, 0x20280020, 0x20280030, 0x00280120, 0x00280130, 0x20280120, 0x20280130,
0x00200800, 0x00200810, 0x20200800, 0x20200810, 0x00200900, 0x00200910, 0x20200900, 0x20200910,
0x00280800, 0x00280810, 0x20280800, 0x20280810, 0x00280900, 0x00280910, 0x20280900, 0x20280910,
0x00200820, 0x00200830, 0x20200820, 0x20200830, 0x00200920, 0x00200930, 0x20200920, 0x20200930,
0x00280820, 0x00280830, 0x20280820, 0x20280830, 0x00280920, 0x00280930, 0x20280920, 0x20280930,
0x02200000, 0x02200010, 0x22200000, 0x22200010, 0x02200100, 0x02200110, 0x22200100, 0x22200110,
0x02280000, 0x02280010, 0x22280000, 0x22280010, 0x02280100, 0x02280110, 0x22280100, 0x22280110,
0x02200020, 0x02200030, 0x22200020, 0x22200030, 0x02200120, 0x02200130, 0x22200120, 0x22200130,
0x02280020, 0x02280030, 0x22280020, 0x22280030, 0x02280120, 0x02280130, 0x22280120, 0x22280130,
0x02200800, 0x02200810, 0x22200800, 0x22200810, 0x02200900, 0x02200910, 0x22200900, 0x22200910,
0x02280800, 0x02280810, 0x22280800, 0x22280810, 0x02280900, 0x02280910, 0x22280900, 0x22280910,
0x02200820, 0x02200830, 0x22200820, 0x22200830, 0x02200920, 0x02200930, 0x22200920, 0x22200930,
0x02280820, 0x02280830, 0x22280820, 0x22280830, 0x02280920, 0x02280930, 0x22280920, 0x22280930,


PC2_Tab_1
0x00000000, 0x00200000, 0x00000000, 0x00200000, 0x00002000, 0x00202000, 0x00002000, 0x00202000,
0x00000004, 0x00200004, 0x00000004, 0x00200004, 0x00002004, 0x00202004, 0x00002004, 0x00202004,
0x00040000, 0x00240000, 0x00040000, 0x00240000, 0x00042000, 0x00242000, 0x00042000, 0x00242000,
0x00040004, 0x00240004, 0x00040004, 0x00240004, 0x00042004, 0x00242004, 0x00042004, 0x00242004,
0x10000000, 0x10200000, 0x10000000, 0x10200000, 0x10002000, 0x10202000, 0x10002000, 0x10202000,
0x10000004, 0x10200004, 0x10000004, 0x10200004, 0x10002004, 0x10202004, 0x10002004, 0x10202004,
0x10040000, 0x10240000, 0x10040000, 0x10240000, 0x10042000, 0x10242000, 0x10042000, 0x10242000,
0x10040004, 0x10240004, 0x10040004, 0x10240004, 0x10042004, 0x10242004, 0x10042004, 0x10242004,
0x00000001, 0x00200001, 0x00000001, 0x00200001, 0x00002001, 0x00202001, 0x00002001, 0x00202001,
0x00000005, 0x00200005, 0x00000005, 0x00200005, 0x00002005, 0x00202005, 0x00002005, 0x00202005,
0x00040001, 0x00240001, 0x00040001, 0x00240001, 0x00042001, 0x00242001, 0x00042001, 0x00242001,
0x00040005, 0x00240005, 0x00040005, 0x00240005, 0x00042005, 0x00242005, 0x00042005, 0x00242005,
0x10000001, 0x10200001, 0x10000001, 0x10200001, 0x10002001, 0x10202001, 0x10002001, 0x10202001,
0x10000005, 0x10200005, 0x10000005, 0x10200005, 0x10002005, 0x10202005, 0x10002005, 0x10202005,
0x10040001, 0x10240001, 0x10040001, 0x10240001, 0x10042001, 0x10242001, 0x10042001, 0x10242001,
0x10040005, 0x10240005, 0x10040005, 0x10240005, 0x10042005, 0x10242005, 0x10042005, 0x10242005,
0x00000400, 0x00200400, 0x00000400, 0x00200400, 0x00002400, 0x00202400, 0x00002400, 0x00202400,
0x00000404, 0x00200404, 0x00000404, 0x00200404, 0x00002404, 0x00202404, 0x00002404, 0x00202404,
0x00040400, 0x00240400, 0x00040400, 0x00240400, 0x00042400, 0x00242400, 0x00042400, 0x00242400,
0x00040404, 0x00240404, 0x00040404, 0x00240404, 0x00042404, 0x00242404, 0x00042404, 0x00242404,
0x10000400, 0x10200400, 0x10000400, 0x10200400, 0x10002400, 0x10202400, 0x10002400, 0x10202400,
0x10000404, 0x10200404, 0x10000404, 0x10200404, 0x10002404, 0x10202404, 0x10002404, 0x10202404,
0x10040400, 0x10240400, 0x10040400, 0x10240400, 0x10042400, 0x10242400, 0x10042400, 0x10242400,
0x10040404, 0x10240404, 0x10040404, 0x10240404, 0x10042404, 0x10242404, 0x10042404, 0x10242404,
0x00000401, 0x00200401, 0x00000401, 0x00200401, 0x00002401, 0x00202401, 0x00002401, 0x00202401,
0x00000405, 0x00200405, 0x00000405, 0x00200405, 0x00002405, 0x00202405, 0x00002405, 0x00202405,
0x00040401, 0x00240401, 0x00040401, 0x00240401, 0x00042401, 0x00242401, 0x00042401, 0x00242401,
0x00040405, 0x00240405, 0x00040405, 0x00240405, 0x00042405, 0x00242405, 0x00042405, 0x00242405,
0x10000401, 0x10200401, 0x10000401, 0x10200401, 0x10002401, 0x10202401, 0x10002401, 0x10202401,
0x10000405, 0x10200405, 0x10000405, 0x10200405, 0x10002405, 0x10202405, 0x10002405, 0x10202405,
0x10040401, 0x10240401, 0x10040401, 0x10240401, 0x10042401, 0x10242401, 0x10042401, 0x10242401,
0x10040405, 0x10240405, 0x10040405, 0x10240405, 0x10042405, 0x10242405, 0x10042405, 0x10242405,


PC2_Tab_2
0x00000000, 0x00000400, 0x01000000, 0x01000400, 0x00000002, 0x00000402, 0x01000002, 0x01000402,
0x00000000, 0x00000400, 0x01000000, 0x01000400, 0x00000002, 0x00000402, 0x01000002, 0x01000402,
0x00020000, 0x00020400, 0x01020000, 0x01020400, 0x00020002, 0x00020402, 0x01020002, 0x01020402,
0x00020000, 0x00020400, 0x01020000, 0x01020400, 0x00020002, 0x00020402, 0x01020002, 0x01020402,
0x08000000, 0x08000400, 0x09000000, 0x09000400, 0x08000002, 0x08000402, 0x09000002, 0x09000402,
0x08000000, 0x08000400, 0x09000000, 0x09000400, 0x08000002, 0x08000402, 0x09000002, 0x09000402,
0x08020000, 0x08020400, 0x09020000, 0x09020400, 0x08020002, 0x08020402, 0x09020002, 0x09020402,
0x08020000, 0x08020400, 0x09020000, 0x09020400, 0x08020002, 0x08020402, 0x09020002, 0x09020402,
0x00001000, 0x00001400, 0x01001000, 0x01001400, 0x00001002, 0x00001402, 0x01001002, 0x01001402,
0x00001000, 0x00001400, 0x01001000, 0x01001400, 0x00001002, 0x00001402, 0x01001002, 0x01001402,
0x00021000, 0x00021400, 0x01021000, 0x01021400, 0x00021002, 0x00021402, 0x01021002, 0x01021402,
0x00021000, 0x00021400, 0x01021000, 0x01021400, 0x00021002, 0x00021402, 0x01021002, 0x01021402,
0x08001000, 0x08001400, 0x09001000, 0x09001400, 0x08001002, 0x08001402, 0x09001002, 0x09001402,
0x08001000, 0x08001400, 0x09001000, 0x09001400, 0x08001002, 0x08001402, 0x09001002, 0x09001402,
0x08021000, 0x08021400, 0x09021000, 0x09021400, 0x08021002, 0x08021402, 0x09021002, 0x09021402,
0x08021000, 0x08021400, 0x09021000, 0x09021400, 0x08021002, 0x08021402, 0x09021002, 0x09021402,
0x00000000, 0x00000400, 0x01000000, 0x01000400, 0x00000002, 0x00000402, 0x01000002, 0x01000402,
0x00000000, 0x00000400, 0x01000000, 0x01000400, 0x00000002, 0x00000402, 0x01000002, 0x01000402,
0x00020000, 0x00020400, 0x01020000, 0x01020400, 0x00020002, 0x00020402, 0x01020002, 0x01020402,
0x00020000, 0x00020400, 0x01020000, 0x01020400, 0x00020002, 0x00020402, 0x01020002, 0x01020402,
0x08000000, 0x08000400, 0x09000000, 0x09000400, 0x08000002, 0x08000402, 0x09000002, 0x09000402,
0x08000000, 0x08000400, 0x09000000, 0x09000400, 0x08000002, 0x08000402, 0x09000002, 0x09000402,
0x08020000, 0x08020400, 0x09020000, 0x09020400, 0x08020002, 0x08020402, 0x09020002, 0x09020402,
0x08020000, 0x08020400, 0x09020000, 0x09020400, 0x08020002, 0x08020402, 0x09020002, 0x09020402,
